Received: {'transaction_id': 'TXN0100', 'amount': 1209, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:39.711749+07:00', 'sender_account': 'ACC003', 'receiver_account': 'ACC011', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV005', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0101', 'amount': 6460, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:40.830775+07:00', 'sender_account': 'ACC005', 'receiver_account': 'ACC020', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV005', 'channel': 'mobile', 'location': 'Khon Kaen', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0102', 'amount': 6116, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:43.270971+07:00', 'sender_account': 'ACC001', 'receiver_account': 'ACC019', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV003', 'channel': 'mobile', 'location': 'Khon Kaen', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0103', 'amount': 7686, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:45.544867+07:00', 'sender_account': 'ACC003', 'receiver_account': 'ACC020', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV001', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0105', 'amount': 2266, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:48.327235+07:00', 'sender_account': 'ACC010', 'receiver_account': 'ACC016', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV004', 'channel': 'mobile', 'location': 'Pattaya', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0106_M0', 'amount': 48220, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:50.614626+07:00', 'sender_account': 'ACC009', 'receiver_account': 'MULE_ACC_999', 'sender_ip': '10.0.0.66', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV002', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0106_M1', 'amount': 46029, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:51.150046+07:00', 'sender_account': 'ACC018', 'receiver_account': 'MULE_ACC_999', 'sender_ip': '10.0.0.66', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV001', 'channel': 'mobile', 'location': 'Khon Kaen', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0106_M2', 'amount': 48524, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:51.677921+07:00', 'sender_account': 'ACC018', 'receiver_account': 'MULE_ACC_999', 'sender_ip': '10.0.0.66', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV005', 'channel': 'mobile', 'location': 'Phuket', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0106_M3', 'amount': 47443, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:52.202048+07:00', 'sender_account': 'ACC009', 'receiver_account': 'MULE_ACC_999', 'sender_ip': '10.0.0.66', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV003', 'channel': 'mobile', 'location': 'Phuket', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0106_M4', 'amount': 47552, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:52.72603+07:00', 'sender_account': 'ACC019', 'receiver_account': 'MULE_ACC_999', 'sender_ip': '10.0.0.66', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV002', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0107', 'amount': 15741, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:55.908185+07:00', 'sender_account': 'ACC009', 'receiver_account': 'ACC016', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV003', 'channel': 'mobile', 'location': 'Bangkok', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0108', 'amount': 19097, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:57.202548+07:00', 'sender_account': 'ACC007', 'receiver_account': 'ACC009', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV004', 'channel': 'mobile', 'location': 'Bangkok', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0109', 'amount': 12093, 'currency': 'THB', 'timestamp': '2026-01-09T21:57:59.338877+07:00', 'sender_account': 'ACC001', 'receiver_account': 'ACC002', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV002', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0110', 'amount': 2784, 'currency': 'THB', 'timestamp': '2026-01-09T21:58:02.254611+07:00', 'sender_account': 'ACC006', 'receiver_account': 'ACC002', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV001', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0111', 'amount': 17904, 'currency': 'THB', 'timestamp': '2026-01-09T21:58:04.936729+07:00', 'sender_account': 'ACC010', 'receiver_account': 'ACC008', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV001', 'channel': 'mobile', 'location': 'Bangkok', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0112', 'amount': 7826, 'currency': 'THB', 'timestamp': '2026-01-09T21:58:07.257723+07:00', 'sender_account': 'ACC006', 'receiver_account': 'ACC001', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV002', 'channel': 'mobile', 'location': 'Chiang Mai', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0113', 'amount': 13235, 'currency': 'THB', 'timestamp': '2026-01-09T21:58:08.647141+07:00', 'sender_account': 'ACC009', 'receiver_account': 'ACC010', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV001', 'channel': 'mobile', 'location': 'Bangkok', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0115', 'amount': 4645, 'currency': 'THB', 'timestamp': '2026-01-09T21:58:13.720225+07:00', 'sender_account': 'ACC003', 'receiver_account': 'ACC013', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV002', 'channel': 'mobile', 'location': 'Bangkok', 'transaction_type': 'transfer'}
Received: {'transaction_id': 'TXN0116', 'amount': 15498, 'currency': 'THB', 'timestamp': '2026-01-09T21:58:15.602043+07:00', 'sender_account': 'ACC004', 'receiver_account': 'ACC017', 'sender_ip': '192.168.1.1', 'receiver_ip': '192.168.1.2', 'device_id': 'DEV001', 'channel': 'mobile', 'location': 'Pattaya', 'transaction_type': 'transfer'}
